,school_name,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate
150,PELHAM LAB HIGH SCHOOL,3,70,40,33,183,48
151,RENAISSANCE HIGH SCHOOL-MTA,4,30,15,33,159,21
152,SCHOOL FOR TOURISM AND HOSPITALITY,4,42,13,46,105,37
153,SCHUYLERVILLE PREP HIGH SCHOO,0,48,8,52,169,31
154,WESTCHESTER SQUARE ACADEMY,6,28,22,17,184,26
155,WOMEN'S ACADEMY OF EXCELLENCE,0,17,13,43,125,19
156,ACADEMY FOR LANGUAGE AND TECHNOLOGY,9,26,52,13,91,22
157,BRONX CENTER FOR SCI & MATH,0,69,10,48,203,47
158,BRONX COLLEGIATE ACADEMY,0,54,15,31,173,46
159,BRONX EARLY COL ACAD-TEACH/LEARN,6,63,40,20,207,53
160,BRONX HIGH SCHOOL OF BUSINESS,0,12,12,52,133,9
161,BRONX HS FOR MEDICAL SCIENCE,0,57,7,21,160,30
162,BRONX INTERNATIONAL HIGH SCHOOL,0,53,0,63,180,43
163,BRONX LEADERSHIP ACAD HIGH SCHOOL,9,33,24,15,156,34
164,"BRONX SCHOOL FOR LAW, GOV, JUSTICE",7,56,30,30,303,44
165,BRONX WRITING ACADEMY,8,41,30,32,140,39
166,CLAREMONT INTERNATIONAL HS,4,50,19,31,165,34
167,COMP MODEL SCH PROJECT MS 327,2,46,4,27,282,32
168,DREAMYARD PREPARATORY SCHOOL,0,18,27,23,126,10
169,EAGLE ACADEMY FOR YOUNG MEN,3,18,8,32,180,17
170,EXIMIUS COLLEGE PREP ACADEMY,7,53,7,23,202,44
171,FREDERICK DOUGLASS ACAD III,7,41,19,22,119,29
172,HIGH SCHOOL FOR VIOLIN AND DANCE,0,19,0,50,85,11
173,MORRIS ACADEMY FOR COLLA STUDIES,6,19,22,31,192,15
174,MOTT HALL BRONX HIGH SCHOOL,12,40,40,24,109,36
175,NEW DIRECTIONS SECONDARY SCHOOL,4,31,15,31,142,21
176,NEW MILLENNIUM BRONX ACAD ARTS,13,40,13,27,63,27
177,SCHOOL FOR EXCELLENCE ,0,25,0,46,90,18
178,URBAN ASSMBLY SCHOOL-APPL MATH,12,49,37,20,218,46
179,VALIDUS PREP ACADEMY,9,61,13,48,149,53
180,BELMONT PREPARATORY HIGH SCHOOL,3,31,10,45,137,28
181,BRONX ACAD FOR SOFTWARE ENGINEERING,10,71,16,16,216,55
182,BRONX COLLABORATIVE HIGH SCHOOL,3,17,22,17,242,14
183,BRONX ENG & TECH ACADEMY,0,20,0,40,138,12
184,BRONX HIGH SCHOOL OF SCIENCE,2,6,11,59,669,4
185,BRONX HIGH SCHOOL-LAW & COMM SVC,0,14,14,48,145,9
186,BRONX SCHOOL OF LAW & FINANCE,4,29,13,58,114,24
187,BRONX THEATRE HIGH SCHOOL,0,52,4,60,168,29
188,CELIA CRUZ BRONX HS OF MUSIC (THE),7,24,17,45,167,23
189,CROTONA INTERNATIONAL HIGH SCHOOL,5,35,25,50,85,20
190,DEWITT CLINTON HIGH SCHOOL,1,28,9,68,414,20
191,DISCOVERY HIGH SCHOOL,0,29,29,39,170,20
192,ENGLISH LANGUAGE LEARNERS-INTER SUPP,0,41,23,41,55,42
193,FORDHAM HIGH SCHOOL FOR THE ARTS,11,33,48,7,114,28
194,FORDHAM LEADERSHIP ACADEMY,10,23,47,27,150,25
195,HIGH SCHOOL FOR ENERGY AND TECHNOLOG,0,10,16,45,222,11
196,HS AMER STUDIES AT LEHMAN COLL,0,4,0,71,121,2
197,HS FOR TEACHING AND PROFESSIONS,0,22,0,44,160,19
198,IN-TECH ACADEMY (MS/HS 368),2,34,8,47,307,25
199,INTERNATIONAL SCHOOL FOR LIBERAL ART,3,35,18,48,237,25
200,KINGSBRIDGE INTERNATIONAL HS,0,17,8,50,100,16
201,"KNOWLEDGE, POWER PREP ACAD INTER HS",5,18,30,33,166,18
202,MARBLE HILL HS-INTRNTNL STUDIES,3,20,17,63,120,20
