,school_name,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate
424,HILLSIDE ARTS & LETTERS ACADEMY,0,55,7,52,163,32
425,HS-LAW ENFORCEMENT & PUB SAFETY,0,20,13,60,138,19
426,JAMAICA GATEWAY TO THE SCIENCES,0,11,15,30,127,14
427,JHS 157 STEPHEN A HALSEY ,1,7,24,31,384,8
428,JHS 190 RUSSELL SAGE ,0,15,2,54,288,12
429,METROPOLITAN EXPEDITIONARY LRNING,2,28,11,22,245,17
430,PS 54 HILLSIDE,0,2,5,61,81,1
431,QUEENS COLLEGIATE,0,22,9,37,265,18
432,QUEENS GATEWAY TO HEALTH SCI SEC,0,57,6,57,231,36
433,QUEENS HIGH SCHOOL SCI AT YORK COLL,0,8,0,77,124,5
434,QUEENS METROPOLITAN HIGH SCHOOL,0,22,6,42,407,20
435,QUEENS SATELLITE HS-OPPORTUNITY,0,9,0,55,49,10
436,THOMAS A EDISON CAREER-TECH HS,1,44,7,58,537,36
437,YORK EARLY COLLEGE ACADEMY,0,17,3,55,137,18
438,YOUNG WOMEN'S LRDSHP SCHOOL,0,47,9,44,187,33
439,BENJAMIN FRANKLIN HS-FINANCE-INFO,0,4,4,38,130,5
440,CAMBRIA HEIGHTS ACADEMY,0,36,21,46,192,23
441,EAGLE ACADEMY FOR YOUNG MEN III,0,44,0,44,253,27
442,EXCELSIOR PREP HIGH SCHOOL ,4,30,4,59,158,18
443,GEORGE WASHINGTON CARVER HS,0,4,7,59,129,2
444,HUMANITIES & ARTS MAGNET HS,0,26,11,63,122,20
445,INSTITUTE FOR HEALTH PROFESIONS,0,3,33,23,152,3
446,MATH/SCIENCE RESEARCH/TECH MAGNET,0,0,37,42,94,5
447,PATHWAYS COLLEGE PREPARATORY SCHOOL,0,55,3,32,210,27
448,PREP ACADEMY FOR WRITERS,0,17,6,40,210,9
449,QUEENS PREPARATORY ACADEMY,4,14,7,46,132,15
450,ACAD FOR CAREERS IN TELEVISION-FILM,0,68,24,41,202,54
451,ACADEMY OF AMERICAN STUDIES,0,22,11,47,210,20
452,BACCALAUREATE SCHOOL-GLOBAL ED,0,21,0,55,153,18
453,ENERGY TECH HIGH SCHOOL,3,14,26,31,139,12
454,FRANK SINATRA SCHOOL OF THE ARTS HS,0,32,0,72,261,24
455,INFORMATION TECHNOLOGY HIGH SCHOOL,2,9,12,45,268,11
456,LONG ISLAND CITY HIGH SCHOOL ,2,46,12,57,837,33
457,NEWCOMERS HIGH SCHOOL,0,9,5,62,255,8
458,WILLIAM CULLEN BRYANT HIGH SCHOOL ,2,16,21,43,749,12
459,YOUNG WOMENS LEADERSHIP SCHOOL,6,62,12,29,225,35
460,CONCORD HIGH SCHOOL,0,42,0,67,56,29
461,CSI HS-INTERNATIONAL STUDIES,0,10,7,73,149,3
462,CURTIS HIGH SCHOOL,1,30,7,62,804,19
463,GAYNOR MCCOWN EXPEDITIONARY LEARNING,0,12,0,55,126,10
464,MICHAEL J PETRIDES SCHOOL (THE),0,5,2,56,370,2
465,NEW DORP HIGH SCHOOL,1,32,8,62,1038,26
466,PORT RICHMOND HIGH SCHOOL,1,13,8,55,401,10
467,RALPH R MCKEE CAREER-TECH HIGH SCH,0,26,2,59,218,24
468,STATEN ISLAND TECH HIGH SCHOOL,0,7,4,77,262,5
469,SUSAN E WAGNER HIGH SCHOOL,2,11,4,72,958,8
470,TOTTENVILLE HIGH SCHOOL,1,20,4,70,923,15
471,ACADEMY FOR EXCELLENCE-LEADERSHIP,4,17,21,38,115,20
472,ACADEMY OF URBAN PLANNING-ENGINEERIN,0,17,6,39,79,9
473,ALL CITY LEADERSHIP SECONDARY SCH,6,12,0,47,92,10
474,BROOKLYN SCHOOL FOR MATH AND RESEARC,0,50,17,28,119,42
475,BROOKLYN SCHOOL FOR SOCIAL JUSTICE,7,10,17,43,152,11
476,BUSHWICK COMMUNITY HS,8,67,58,17,81,51
477,BUSHWICK LEADERS HS-ACAD EXCELL,19,58,35,15,133,46
478,EBC HIGH SCHOOL-PUBLIC SERVICE,8,33,11,36,169,31
