,school_name,percent_with_no_valid_teaching_ceriticate,percent_teaching_out_of_certificate,percent_with_less_than_3_yrs_experience,percent_with_masters_and_30yrs_or_Doctorate,total_number_of_classes,percent_taught_by_teachers_without_appropriate_certificate,Unnamed: 0_x,attendance,Unnamed: 0_y,Common Core Algebra2,percent_graduated,Common Core Algebra,Common Core English,Common Core Geometry,Global History and Geography,Biology,Earth Science,U.S. History and Government,Chemistry,Physics
34,MARTIN VAN BUREN HIGH SCHOOL,1.0,5.0,3.0,59.0,380.0,5.0,405,83,252,45.5,62.8,54.8,74.9,34.1,36.7,54.9,31.6,58.3,46.4,69.2
35,SCHOLARS' ACADEMY,1.0,23.0,19.0,39.0,305.0,16.0,419,96,260,96.6,100.0,99.4,98.1,91.2,99.3,95.7,94.6,92.0,88.1,99.0
36,RICHMOND HILL HIGH SCHOOL,3.0,22.0,13.0,47.0,700.0,18.0,415,85,264,45.3,67.5,60.3,70.0,25.6,49.4,57.6,47.9,61.3,70.4,100.0
37,JOHN ADAMS HIGH SCHOOL,3.0,18.0,30.0,31.0,887.0,16.0,413,82,268,36.9,66.9,67.5,65.1,75.5,64.7,57.6,23.0,72.2,32.0,25.0
38,JAMAICA GATEWAY TO THE SCIENCES,0.0,11.0,15.0,30.0,127.0,14.0,426,90,276,98.2,82.8,69.2,83.7,66.9,71.9,74.8,30.8,86.0,76.9,63.9
39,HILLCREST HIGH SCHOOL,0.0,10.0,6.0,56.0,849.0,7.0,423,86,284,58.5,69.3,53.6,81.1,26.7,60.7,63.7,61.5,79.8,71.9,47.4
40,QUEENS METROPOLITAN HIGH SCHOOL,0.0,22.0,6.0,42.0,407.0,20.0,434,91,292,57.3,79.9,87.0,88.5,80.4,80.1,85.1,69.5,88.4,62.2,84.6
41,ENERGY TECH HIGH SCHOOL,3.0,14.0,26.0,31.0,139.0,12.0,453,93,300,60.9,89.1,69.4,84.4,46.6,91.3,81.2,34.4,86.1,46.2,90.0
42,INFORMATION TECHNOLOGY HIGH SCHOOL,2.0,9.0,12.0,45.0,268.0,11.0,455,89,316,73.8,80.3,73.2,88.3,60.9,63.7,82.1,53.6,76.4,71.9,74.1
43,NEWCOMERS HIGH SCHOOL,0.0,9.0,5.0,62.0,255.0,8.0,457,90,320,90.7,73.0,81.3,54.3,80.5,56.3,80.9,75.0,68.4,55.6,89.3
44,ACADEMY OF AMERICAN STUDIES,0.0,22.0,11.0,47.0,210.0,20.0,451,93,324,78.0,92.1,83.7,92.2,76.2,86.1,82.7,75.9,93.1,74.5,56.8
45,NEW DORP HIGH SCHOOL,1.0,32.0,8.0,62.0,1038.0,26.0,465,88,336,78.3,78.6,68.6,87.9,45.7,69.9,75.5,48.5,85.0,74.9,59.3
46,PORT RICHMOND HIGH SCHOOL,1.0,13.0,8.0,55.0,401.0,10.0,466,85,340,59.1,66.2,73.6,75.1,37.3,49.2,56.8,18.2,68.2,34.8,32.5
47,CURTIS HIGH SCHOOL,1.0,30.0,7.0,62.0,804.0,19.0,462,84,344,61.9,71.5,59.9,74.0,39.6,49.0,59.7,41.8,75.0,53.3,59.6
48,TOTTENVILLE HIGH SCHOOL,1.0,20.0,4.0,70.0,923.0,15.0,470,90,348,80.0,87.2,78.1,94.4,52.9,70.3,75.3,18.5,85.3,54.8,68.8
