,school_name,attendance
119,WASHINGTON HGTS EXPEDITIONARY LEARN,88
120,ALFRED E SMITH CAREER-TECH HIGH SCH,82
121,BRONX DESIGN-CONSTRUCTION ACADEMY,79
122,BRONX HAVEN HIGH SCHOOL,57
123,BRONX LEADERSHIP ACAD II HIGH SCHOOL,82
124,CAREERS IN SPORTS HS,76
125,COMMUNITY SCHOOL-SOCIAL JUSTICE,79
126,HEALTH OPPORTUNITIES HIGH SCHOOL,78
127,HERO HIGH SCHOOL,86
128,HOSTOS-LINCOLN ACADEMY OF SCIENCE,92
129,INTERNATIONAL COMMUNITY HIGH SCHOOL,84
130,JILL CHAIFETZ TRANSFER HIGH SCHOOL,52
131,LAB SCHOOL OF FIN & TECH: X223,93
132,MOTT HAVEN COMMUNITY HIGH SCHOOL,66
133,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,77
134,SOUTH BRONX PREPARATORY,92
135,UNIVERSITY HEIGHTS SECONDARY SCHOOL,93
136,URBAN ASSEMBLY BRONX OF LETTERS,86
137,ANTONIA PANTOJA PREP ACADEMY,85
138,"ARCHIMEDES ACAD-MATH, SCI, TECH",85
139,BRONX ARENA HIGH SCHOOL,54
140,BRONX BRIDGES HIGH SCHOOL,83
141,BRONX COMMUNITY HIGH SCHOOL,59
142,BRONX COMPASS HIGH SCHOOL,77
143,BRONX RIVER HIGH SCHOOL,85
144,BRONX STUDIO SCHOOL-WRITERS-ARTISTS,88
145,GOTHAM COLLABORATIVE HIGH SCHOOL,76
146,HERBERT H LEHMAN HIGH SCHOOL,75
147,HUNTS POINT SCHOOL (THE),91
148,LONGWOOD PREPARATORY ACADEMY,73
149,MILLENIUM ART ACADEMY,81
150,PELHAM LAB HIGH SCHOOL,86
151,RENAISSANCE HIGH SCHOOL-MTA,82
152,SCHOOL FOR TOURISM AND HOSPITALITY,80
153,SCHUYLERVILLE PREP HIGH SCHOO,88
154,WESTCHESTER SQUARE ACADEMY,86
155,WOMEN'S ACADEMY OF EXCELLENCE,75
156,ACADEMY FOR LANGUAGE AND TECHNOLOGY,89
157,BRONX CENTER FOR SCI & MATH,90
158,BRONX COLLEGIATE ACADEMY,81
159,BRONX EARLY COL ACAD-TEACH/LEARN,89
160,BRONX HIGH SCHOOL OF BUSINESS,80
161,BRONX HS FOR MEDICAL SCIENCE,94
162,BRONX INTERNATIONAL HIGH SCHOOL,81
163,BRONX LEADERSHIP ACAD HIGH SCHOOL,79
164,"BRONX SCHOOL FOR LAW, GOV, JUSTICE",90
165,BRONX WRITING ACADEMY,87
166,CLAREMONT INTERNATIONAL HS,87
167,COMP MODEL SCH PROJECT MS 327,90
168,DREAMYARD PREPARATORY SCHOOL,82
169,EAGLE ACADEMY FOR YOUNG MEN,88
170,EXIMIUS COLLEGE PREP ACADEMY,86
171,FREDERICK DOUGLASS ACAD III,76
172,HIGH SCHOOL FOR VIOLIN AND DANCE,75
173,MORRIS ACADEMY FOR COLLA STUDIES,77
174,MOTT HALL BRONX HIGH SCHOOL,83
175,NEW DIRECTIONS SECONDARY SCHOOL,63
176,NEW MILLENNIUM BRONX ACAD ARTS,92
177,SCHOOL FOR EXCELLENCE ,70
178,URBAN ASSMBLY SCHOOL-APPL MATH,90
179,VALIDUS PREP ACADEMY,79
180,BELMONT PREPARATORY HIGH SCHOOL,88
181,BRONX ACAD FOR SOFTWARE ENGINEERING,89
182,BRONX COLLABORATIVE HIGH SCHOOL,82
183,BRONX ENG & TECH ACADEMY,81
184,BRONX HIGH SCHOOL OF SCIENCE,97
185,BRONX HIGH SCHOOL-LAW & COMM SVC,84
186,BRONX SCHOOL OF LAW & FINANCE,80
187,BRONX THEATRE HIGH SCHOOL,75
188,CELIA CRUZ BRONX HS OF MUSIC (THE),91
189,CROTONA INTERNATIONAL HIGH SCHOOL,81
190,DEWITT CLINTON HIGH SCHOOL,80
191,DISCOVERY HIGH SCHOOL,85
192,ENGLISH LANGUAGE LEARNERS-INTER SUPP,78
193,FORDHAM HIGH SCHOOL FOR THE ARTS,92
194,FORDHAM LEADERSHIP ACADEMY,83
195,HIGH SCHOOL FOR ENERGY AND TECHNOLOG,85
196,HS AMER STUDIES AT LEHMAN COLL,97
197,HS FOR TEACHING AND PROFESSIONS,79
198,IN-TECH ACADEMY (MS/HS 368),93
199,INTERNATIONAL SCHOOL FOR LIBERAL ART,93
200,KINGSBRIDGE INTERNATIONAL HS,84
201,"KNOWLEDGE, POWER PREP ACAD INTER HS",85
202,MARBLE HILL HS-INTRNTNL STUDIES,93
203,MARIE CURIE HIGH SCHOOL-NURSING,82
204,MS 390,93
205,PULSE HIGH SCHOOL,73
206,RIVERDALE/KINGSBRIDGE (MS/HS 141),93
207,THEATRE ARTS PROD COMPANY SCHOOL,87
208,WEST BRONX ACAD FOR THE FUTURE,90
209,WORLD VIEW HIGH SCHOOL,86
210,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,82
211,ASTOR COLLEGIATE ACADEMY,85
212,BRONX ACADEMY OF HEALTH CAREERS,84
213,BRONX AEROSPACE HIGH SCHOOL,80
214,BRONX HEALTH SCIENCES HIGH SCHOOL,92
215,BRONX HIGH SCH-WRITING & COMM ARTS,81
216,BRONX HIGH SCHOOL FOR THE VISUAL ART,84
217,BRONX LAB SCHOOL,83
218,BRONXDALE HIGH SCHOOL,81
219,BRONXWOOD PREP ACADEMY (THE),88
220,COLLEGIATE INST FOR MATH & SCI,87
221,HARRY S TRUMAN HIGH SCHOOL,89
222,HIGH SCHOOL FOR CONTEMPORARY ARTS,80
223,HIGH SCHOOL-COMPUTERS & TECHNOLOGY,85
224,HS FOR LANGUAGE-INNOVATION,86
225,LEADERS OF TOMORROW,91
226,NEW WORLD HIGH SCHOOL,92
227,PELHAM PREPARATORY ACADEMY,91
228,ARTURO A SCHOMBURG SATTELLITE-BRONX,64
229,BRONX CAREER AND COLLEGE PREP HS,74
230,BRONX ENVISION ACADEMY,79
231,BRONX LATIN SCHOOL,91
232,BRONX REGIONAL HIGH SCHOOL,50
233,CINEMA SCHOOL (THE),88
234,EAST BRONX ACADEMY FOR THE FUTURE,82
235,EXPLORATIONS ACADEMY HS,82
236,FANNIE LOU HAMER FREEDOM HS,79
237,HIGH SCHOOL OF WORLD CULTURES,82
238,METROPOLITAN HIGH SCHOOL (THE),77
239,METROPOLITAN SOUNDVIEW HIGH (THE),80
240,MOTT HALL V,91
241,PAN AMERICAN INTERNATIONAL HS-MONROE,88
242,WINGS ACADEMY,77
243,ACORN COMMUNITY HS,76
244,BEDFORD ACADEMY HIGH SCHOOL,92
245,BENJAMIN BANNEKER ACADEMY,87
246,BROOKLYN ACADEMY HIGH SCHOOL,66
247,BROOKLYN COMM ARTS-MEDIA HS,82
248,BROOKLYN HS-LEADERSHIP & COMMUNITY,51
249,BROOKLYN INTERNATIONAL HS,92
250,BROOKLYN TECHNICAL HIGH SCHOOL,96
251,CITY POLYTECHNIC HIGH SCHOOL,89
252,DR SUSAN S MCKINNEY SEC SCH-ARTS,83
253,GEORGE WESTINGHOUSE CAREER/TECH HS,86
254,GOTHAM PROFESSIONAL ARTS ACADEMY,73
255,SCIENCE SKILLS CENTER HIGH SCHOOL,88
256,URBAN ASSEMBLY INST OF MATH AND SCIE,88
257,URBAN ASSEMBLY SCHOOL FOR MUSIC-ART,79
258,URBAN ASSMBLY SCH-LAW & JSTCE,90
259,A-TECH HIGH SCHOOL,78
260,BROOKLYN LATIN SCHOOL (THE),93
261,BROOKLYN PREPARATORY HS,87
262,EAST WILLIAMSBURG SCHOLARS,76
263,EL PUENTE ACAD FOR PEACE AND JUSTICE,86
264,"HIGH SCHOOL-ENTERPRISE, BUS & TECH",87
265,JUAN MOREL CAMPOS SECONDARY SCHOOL,88
266,LYONS COMMUNITY SCHOOL,82
267,PROGRESS HS-PROFESSIONAL CAREERS,82
268,WILLAMSBURG HS-ARCH & DESIGN,90
269,WILLIAMSBURG HS-ART-TECH,83
270,WILLIAMSBURG PREPARATORY SCHOOL,90
271,YOUNG WOMENS LEADERSHIP SCH-BROOKLY,89
272,BOERUM HILL SCHOOL FOR INTERNATIONAL,83
273,BROOKLYN COLLABORATIVE STUDIES,86
274,BROOKLYN FRONTIERS HIGH SCHOOL,75
275,BROOKLYN HIGH SCHOOL OF THE ARTS,91
276,COBBLE HILL SCHOOL OF AMERICAN STUD,81
277,CYBERARTS STUDIO ACADEMY,80
278,DIGITAL ARTS AND CINEMA HS,87
279,JOHN JAY SCHOOL FOR LAW ,83
280,KHALIL GIBRAN INTERNATIONAL ACADEMY,85
281,MILLENNIUM BROOKLYN HIGH SCHOOL,94
282,PARK SLOPE COLLEGIATE,90
283,SOUTH BROOKLYN COMM HIGH SCHOOL,49
284,SUNSET PARK HIGH SCHOOL,84
285,WEST BROOKLYN COMMUNITY HIGH SCHOOL,64
286,BOYS AND GIRLS HIGH SCHOOL,79
287,BROOKLYN HIGH SCHOOL-LAW AND TECH,86
288,BROOKYLN ACAD OF GLOBAL FINANCE (THE,79
289,"MS 267 MATH, SCIENCE & TECHNOLOGY",84
290,NELSON MANDELA HIGH SCHOOL,79
291,PS 308 CLARA CARDWELL,86
292,RESEARCH AND SERVICE HIGH SCHOOL,60
293,WHITELAW REID ACAD ARTS-BUSINESS,92
294,ACAD FOR COLLEGE PREP AND CAREER EXP,82
295,ACADEMY FOR HEALTH CAREERS,83
296,ACADEMY OF HOSPITALITY AND TOURISM,74
297,BROOKLYN ACADEMY OF SCI & ENVIRON,88
298,BROOKLYN INSTITUTE FOR LIBERAL ARTS,92
299,BROOKLYN SCHOOL FOR MUSIC & THEATER,85
300,BROWNSVILLE  ACADEMY HIGH SCHOOL,65
301,CLARA BARTON HIGH SCHOOL,88
302,EBBETS FIELD MIDDLE SCHOOL,91
303,HIGH SCH FOR GLOBAL CITIZENSHIP,87
304,HIGH SCHOOL-SVC & LRNG,84
305,HIGH SCHOOL-YOUTH & COMM DEVELOPMENT,86
306,HS FOR PUBLIC SERVICE-HEROES OF TOM,93
307,INTERNTL HS AT PROSPECT HGHTS,84
308,MEDGAR EVERS COLLEGE PREP SCHOOL,90
309,PATHWAYS TECH EARLY COLLEGE HIGH SCH,93
310,SCHOOL FOR HUMAN RIGHTS (THE),90
311,"SCIENCE, TECH & RESEARCH EARLY COLLE",96
312,ACAD FOR CONSERVATION & ENVIRONMENT,81
313,BROOKLYN BRIDGE ACADEMY,61
314,BROOKLYN COMMUNITY HS-EXCEL-EQUITY,87
315,BROOKLYN THEATRE ARTS HIGH SCHOOL,80
316,CULTURAL ACADEMY-ARTS AND SCIENCES,85
317,EAST BROOKLYN COMMUNITY HIGH SCHOOL,71
318,HIGH SCHOOL FOR MEDICAL PROFESSIONS,92
319,HS FOR INNOVATION -ADVERTISING/MEDIA,86
320,IT TAKES A VILLAGE ACADEMY,91
321,KURT HAHN EXPEDITIONARY LRNING SCH,90
322,OLYMPUS ACADEMY,54
323,URBAN ACTION ACADEMY,79
324,VICTORY COLLEGIATE HIGH SCHOOL,89
325,ACADEMY FOR YOUNG WRITERS,89
326,ACADEMY OF INNOVATIVE TECHNOLOGY,85
